work_i	ref_i	era_i	work_j	ref_j	era_j	score	chain_len	matched_words	snippet_i	snippet_j	author_i	author_j	title_i	title_j	tag
tlg0059.tlg030	501/#1	ancient_classical	4040.001	464b/#2	9th_10th	0.1599	14	43	λαβόντες ἦν δ ἐγώ ὥσπερ πίνακα πόλιν τε καὶ ἤθη ἀνθρώπων πρῶτον μὲν καθαρὰν ποιήσειαν ἄν ὃ οὐ πάνυ ῥᾴδιον ἀλλ οὖν οἶσθ ὅτι τούτῳ ἂν εὐθὺς τῶν ἄλλων διενέγκοιεν τῷ μήτε ἰδιώτου μήτε πόλεως ἐθελῆσαι ἂν ἅψασθαι μηδὲ γράφειν νόμους πρὶν ἢ παραλαβεῖν καθαρὰν ἢ αὐτοὶ ποιῆσαι καὶ ὀρθῶς γ ἔφη οὐκοῦν μετὰ ταῦτα οἴει ὑπογράψασθαι ἂν τὸ σχῆμα τῆς πολιτείας τί μήν ἔπειτα οἶμαι ἀπεργαζόμενοι πυκνὰ ἂν ἑκατέρωσ ἀποβλέποιεν πρός τε τὸ φύσει δίκαιον καὶ καλὸν καὶ σῶφρον καὶ πάντα τὰ τοιαῦτα καὶ πρὸς ἐκεῖν αὖ τὸ ἐν τοῖς ἀνθρώποις ἐμποιοῖεν συμμειγνύντες τε καὶ κεραννύντες ἐκ τῶν ἐπιτηδευμάτων τὸ ἀνδρείκελον ἀπ ἐκείνου τεκμαιρόμενοι ὃ δὴ καὶ Ὅμηρος ἐκάλεσεν ἐν τοῖς ἀνθρώποις ἐγγιγνόμενον θεοειδές τε καὶ θεοείκελον ὀρθῶς ἔφη καὶ τὸ μὲν ἂν οἶμαι ἐξαλείφοιεν τὸ δὲ πάλιν ἐγγράφοιεν ἕως ὅτι	πόλιν τε καὶ ἤθη ἀνθρώπων πρῶτον μὲν κα θαρὰν ποιήσειαν καὶ μετὰ τοῦτο ὑπογράψαιντο ἂν τὸ σχῆμα τῆς πολιτείας ἔπειτα οἶμαι ἀπεργαζόμενοι αὐ τὴν πυκνὰ ἂν ἑκατέρωσε ἀποβλέποιεν πρός τε τὸ φύ σει δίκαιον καὶ καλὸν καὶ σῶφρον καὶ πάντα τὰ τοιαῦτα καὶ ὡς ἐκεῖνο αὖ ὃ τοῖς ἀνθρώποις ἐμποιεῖ ὡς καὶ Ὅμηρος ἔφη τὸ θεοειδές τε καὶ θεοείκελον καὶ τὸ μὲν ἐξαλείφοιεν τὸ δὲ πάλιν ἐγγράφοιεν ἐς ὅ τι μά λιστα τὰ ἀνθρώπινα	Plato	Photius I of Constantinople	Respublica (Politeia)	Bibliotheca	
tlg0059.tlg030	501/#1	ancient_classical	4040.001	464b/#1	9th_10th	0.0641	8	14	διαγραφῆς λαβόντες ἦν δ ἐγώ ὥσπερ πίνακα πόλιν τε καὶ ἤθη ἀνθρώπων πρῶτον μὲν καθαρὰν ποιήσειαν ἄν ὃ οὐ πάνυ ῥᾴδιον ἀλλ οὖν οἶσθ ὅτι τούτῳ ἂν εὐθὺς τῶν ἄλλων διενέγκοιεν τῷ μήτε ἰδιώτου μήτε πόλεως ἐθελῆσαι ἂν ἅψασθαι μηδὲ γράφειν νόμους πρὶν ἢ παραλαβεῖν καθαρὰν ἢ αὐτοὶ ποιῆσαι καὶ ὀρθῶς γ ἔφη οὐκοῦν μετὰ ταῦτα οἴει ὑπογράψασθαι ἂν τὸ σχῆμα τῆς πολιτείας τί μήν ἔπειτα οἶμαι ἀπεργαζόμενοι πυκνὰ	τῆς διαγραφῆς Ὅτι λαβόντες ὥσπερ πί νακα πόλιν τε καὶ ἤθη ἀνθρώπων πρῶτον μὲν κα θαρὰν ποιήσειαν καὶ μετὰ τοῦτο ὑπογράψαιντο ἂν τὸ σχῆμα τῆς πολιτείας ἔπειτα οἶμαι ἀπεργαζόμενοι αὐ τὴν πυκνὰ	Plato	Photius I of Constantinople	Respublica (Politeia)	Bibliotheca	
tlg0059.tlg030	501/#2	ancient_classical	4040.001	464b/#2	9th_10th	0.1088	6	14	Ὅμηρος ἐκάλεσεν ἐν τοῖς ἀνθρώποις ἐγγιγνόμενον θεοειδές τε καὶ θεοείκελον ὀρθῶς ἔφη καὶ τὸ μὲν ἂν οἶμαι ἐξαλείφοιεν τὸ δὲ πάλιν ἐγγράφοιεν ἕως ὅτι μάλιστα ἀνθρώπεια ἤθη εἰς ὅσον ἐνδέχεται θεοφιλῆ ποιήσειαν καλλίστη γοῦν ἄν ἔφη ἡ γραφὴ γένοιτο ἆρ οὖν ἦν δ ἐγώ πείθομέν πῃ ἐκείνους οὓς διατεταμένους ἐφ ἡμᾶς ἔφησθα ἰέναι ὡς τοιοῦτός ἐστι πολιτειῶν ζωγράφος ὃν τότ ἐπῃνοῦμεν πρὸς αὐτούς δι	ἐμποιεῖ ὡς καὶ Ὅμηρος ἔφη τὸ θεοειδές τε καὶ θεοείκελον καὶ τὸ μὲν ἐξαλείφοιεν τὸ δὲ πάλιν ἐγγράφοιεν ἐς ὅ τι μά λιστα τὰ ἀνθρώπινα ἤθη θεοφιλῆ ποιήσειαν Τοιοῦτός ἐστι πολιτειῶν ζωγράφος ὁ παιδεραστῶν μετὰ φιλοσο φίας τουτέστιν	Plato	Photius I of Constantinople	Respublica (Politeia)	Bibliotheca	
tlg0059.tlg030	500/#3	ancient_classical	4040.001	464b/#1	9th_10th	0.0933	6	15	τοῖς φιλοσόφοις καὶ ἀπιστήσουσιν ἡμῖν λέγουσιν ὡς οὐκ ἄν ποτε ἄλλως εὐδαιμονήσειε πόλις εἰ μὴ αὐτὴν διαγράψειαν οἱ τῷ θείῳ παραδείγματι χρώμενοι ζωγράφοι οὐ χαλεπανοῦσιν ἦ δ ὅς	ἵνα λήξωσί ποτε τῶν κακῶν καὶ ὡς οὐκ ἄν ποτε εὐδαιμονήσειε πόλις εἰ μὴ αὐτὴν δια γράψειαν οἱ τῷ θείῳ παραδείγματι χρώμενοι Τίς δ ὁ τρόπος τῆς διαγραφῆς	Plato	Photius I of Constantinople	Respublica (Politeia)	Bibliotheca	
tlg0059.tlg030	431/#1	ancient_classical	4040.001	296a/#3	9th_10th	0.0415	7	7	μὲν βέλτιον ἔνι τὸ δὲ χεῖρον καὶ ὅταν μὲν τὸ βέλτιον φύσει τοῦ χείρονος ἐγκρατὲς ᾖ τοῦτο λέγειν τὸ κρείττω	μὲν βέλτιον τὸ δὲ χεῖρον ὄν καὶ ὅταν μέλλῃ τὸ βέλτιον φύσει τοῦ χείρονος ἐγκρατέστερον γενηθῆναι φέρεται ὅλος πρὸς τὸ	Plato	Photius I of Constantinople	Respublica (Politeia)	Bibliotheca	
tlg0059.tlg030	610/#2	ancient_classical	4040.001	295a/#3	9th_10th	0.0451	7	7	μὴ ἀναγκάζηται ἀθανάτους τὰς ψυχὰς ὁμολογεῖν ἀξιώσομέν που εἰ ἀληθῆ λέγει ὁ ταῦτα λέγων τὴν ἀδικίαν εἶναι θανάσιμον τῷ	ὃ οὐ θέλω κακὸν τοῦτο πράσσω ἀξιώσομέν που εἰ ἀληθῆ λέγει ὁ ταῦτα	Plato	Photius I of Constantinople	Respublica (Politeia)	Bibliotheca	
tlg0059.tlg030	469/#1	ancient_classical	4040.001	427a/#2	9th_10th	0.0319	9	9	τοῦ τοιούτου γένους τελευτήσωσιν ὡς ἄρα οἱ μὲν δαίμονες ἁγνοὶ ἐπιχθόνιοι τελέθουσιν ἐσθλοί ἀλεξίκακοι φύλακες μερόπων ἀνθρώπων Hes WD 121 πεισόμεθα μὲν οὖν	τοῦ χρυσοῦ γένους τελευτὴν ἐποίησεν εἰπών οἱ μὲν δαίμονες ἁγνοὶ ὑποχθόνιοι καλέονται ἐσθλοί ἀλεξίκακοι φύλακες θνητῶν ἀνθρώπων Κἀκείνους πλὴν ὅσον οὐ δαίμονας ἀλλὰ	Plato	Photius I of Constantinople	Respublica (Politeia)	Bibliotheca	
tlg0086.tlg010	3/#49	ancient_classical	2130.039	/292#2	9th_10th	0.0036	6	6	μὴ ὄντα μουσικόν ὁμοίως δὲ καὶ ἐπὶ τῶν ἄλλων ἐμφανίζειν δὲ δοκεῖ καὶ ὁ φίλος	γάρ εν τῶν χάμψει βραδύτερον χινούμενοι όμοίως δὲ καὶ ἐπὶ τῶν αλλων οὐν ἐπὶ τῶς ελικος	Aristotle	Arethas of Caesarea	Ethica Nicomachea	Scholia in Categorias	
tlg0086.tlg010	6/#20	ancient_classical	2130.039	/292#2	9th_10th	0.0019	6	6	ἔκλεψε δέ οὐδὲ μοιχός ἐμοίχευσε δέ ὁμοίως δὲ καὶ ἐπὶ τῶν ἄλλων πῶς μὲν οὖν ἔχει τὸ ἀντιπεπονθὸς	γάρ εν τῶν χάμψει βραδύτερον χινούμενοι όμοίως δὲ καὶ ἐπὶ τῶν αλλων οὐν ἐπὶ τῶς ελικος	Aristotle	Arethas of Caesarea	Ethica Nicomachea	Scholia in Categorias	
tlg0086.tlg010	6/#20	ancient_classical	2130.039	/292#3	9th_10th	0.0045	6	6	ἔκλεψε δέ οὐδὲ μοιχός ἐμοίχευσε δέ ὁμοίως δὲ καὶ ἐπὶ τῶν ἄλλων πῶς μὲν οὖν ἔχει τὸ ἀντιπεπονθὸς	γάρ εν τῶν χάμψει βραδύτερον χινούμενοι όμοίως δὲ καὶ ἐπὶ τῶν αλλων οὐν ἐπὶ τῶς ελικος οὓ γάρ	Aristotle	Arethas of Caesarea	Ethica Nicomachea	Scholia in Categorias	
