work_i	ref_i	era_i	work_j	ref_j	era_j	score	chain_len	matched_words	snippet_i	snippet_j	author_i	author_j	title_i	title_j	tag
tlg0059.tlg030	548/#2	ancient_classical	tlg0086.tlg010	7/#2	ancient_classical	0.0	6	6	γάρ ἦν δ ἐγώ διαφανέστατον δ ἐν αὐτῇ ἐστὶν ἕν τι μόνον ὑπὸ τοῦ θυμοειδοῦς κρατοῦντος φιλονικίαι καὶ φιλοτιμίαι σφόδρα	δ ἄριστον τέλειόν τι φαίνεται ὥστ εἰ μέν ἐστιν ἕν τι μόνον τέλειον τοῦτ ἂν εἴη τὸ ζητούμενον εἰ δὲ	Plato	Aristotle	Respublica (Politeia)	Ethica Nicomachea	
tlg0059.tlg030	330/#2	ancient_classical	tlg0086.tlg010	1/#12	ancient_classical	0.0	6	6	οἱ πατέρες τοὺς παῖδας ἀγαπῶσιν ταύτῃ τε δὴ καὶ οἱ χρηματισάμενοι περὶ τὰ χρήματα σπουδάζουσιν ὡς ἔργον ἑαυτῶν καὶ	αὐτά τίνα καὶ πόσα ἐστί τίς τε δὴ καὶ τί καὶ περὶ τί ἢ ἐν τίνι πράττει ἐνίοτε δὲ	Plato	Aristotle	Respublica (Politeia)	Ethica Nicomachea	
tlg0059.tlg030	598/#1	ancient_classical	tlg4036.tlg001	In Rempublicam/101r#36	ancient_classical	0.4509	49	90	τὸν μὲν δὴ μιμητὴν ὡμολογήκαμεν εἰπὲ δέ μοι περὶ τοῦ ζωγράφου τόδε πότερα ἐκεῖνο αὐτὸ τὸ ἐν τῇ φύσει ἕκαστον δοκεῖ σοι ἐπιχειρεῖν μιμεῖσθαι ἢ τὰ τῶν δημιουργῶν ἔργα τὰ τῶν δημιουργῶν ἔφη ἆρα οἷα ἔστιν ἢ οἷα φαίνεται τοῦτο γὰρ ἔτι διόρισον πῶς λέγεις ἔφη ὧδε κλίνη ἐάντε ἐκ πλαγίου αὐτὴν θεᾷ ἐάντε καταντικρὺ ἢ ὁπῃοῦν μή τι διαφέρει αὐτὴ ἑαυτῆς ἢ διαφέρει μὲν οὐδέν φαίνεται δὲ ἀλλοία καὶ τἆλλα ὡσαύτως οὕτως ἔφη φαίνεται διαφέρει δ οὐδέν τοῦτο δὴ αὐτὸ σκόπει πρὸς πότερον ἡ γραφικὴ πεποίηται περὶ ἕκαστον πότερα πρὸς τὸ ὄν ὡς ἔχει μιμήσασθαι ἢ πρὸς τὸ φαινόμενον ὡς	τῷ τῆς ζωγραφίας παραδείγματι προσ χρώμενος τὸν μὲν δὴ μιμητὴν ὡμολογήκαμεν εἰπὲ δέ μοι περὶ τοῦ ζωγράφου τόδε πότερα ἐκεῖνο αὐτὸ τὸ ἐν τῇ φύσει ἕκαστον δοκεῖ σοι ἐπιχειρεῖν μιμεῖσθαι ἢ τὰ τῶν δημιουργῶν ἔργα τὰ τῶν δημιουργῶν ἴφη ἆρα οἷα ἔστιν ἢ οἷα φαίνεται τοῦτο γὰρ ἔτι διόρισον πῶς λέγεις ἔφη ὧδε κλίνη ἐάν τε ἐκ πλαγίου αὐτὴν θεᾷ ἐάν τε καταντικρὺς ἄν τε ὅπῃ οὖν μή τι διαφέρει αὐτὴ αὐτῆς ἢ διαφέρει μὲν οὐδέν φαίνεται δὲ ἀλλοία καὶ ἄλλα ὡσαύτως οὕτως ἔφη φαίνεται διαφέρει δὲ οὐδέν τοῦτο δὴ αὐτὸ σκόπει πρὸς πότερον γραφικὴ πεποίηται περὶ ἕκαστον πότερα πρὸς τὸ ὂν ὡς ἔχει	Plato	Proclus	Respublica (Politeia)	In Platonis Rem publicam commentarii	
tlg0059.tlg030	595/#1	ancient_classical	tlg4036.tlg001	In Rempublicam/101r#49	ancient_classical	0.3883	18	72	καὶ μήν ἦν δ ἐγώ πολλὰ μὲν καὶ ἄλλα περὶ αὐτῆς ἐννοῶ ὡς παντὸς ἄρα μᾶλλον ὀρθῶς ᾠκίζομεν τὴν πόλιν οὐχ ἥκιστα δὲ ἐνθυμηθεὶς περὶ ποιήσεως λέγω τὸ ποῖον ἔφη τὸ μηδαμῇ παραδέχεσθαι αὐτῆς ὅση μιμητική παντὸς γὰρ μᾶλλον οὐ παραδεκτέα νῦν καὶ ἐναργέστερον ὡς ἐμοὶ δοκεῖ φαίνεται ἐπειδὴ χωρὶς ἕκαστα διῄρηται τὰ τῆς ψυχῆς εἴδη πῶς λέγεις ὡς μὲν πρὸς ὑμᾶς εἰρῆσθαι οὐ γάρ μου κατερεῖτε πρὸς τοὺς τῆς τραγῳδίας ποιητὰς καὶ τοὺς ἄλλους ἅπαντας τοὺς μιμητικούς λώβη ἔοικεν εἶναι πάντα τὰ τοιαῦτα τῆς τῶν ἀκουόντων διανοίας ὅσοι μὴ ἔχουσι φάρμακον τὸ εἰδέναι	καὶ μήν ἦν δὲ ἐγώ φησίν πολλὰ μὲν καὶ ἄλλα περὶ αὐτῆς ἐννοῶ τῆς εἰρημένης πολιτείας λέγων ὡς παντὸς ἄρα μᾶλλον ὀρθῶς ᾠκίζομεν τὴν πόλιν οὐχ ἥκιστα δὲ ἐνθυμηθεὶς περὶ ποιήσεως 4 cf rep X 7 εἰρημένα φανταστικῶσ im m2 20 ἀντιπαρατείνομεν 26 ἐννοῶ νοῶ ir m2 28 ποιήσεως λέγω Τὸ ποῖον ἔφη Τὸ μηδαμῆ Pl τὸ μηδαμῇ παραδέχεσθαι αὐτῆς ὅση μιμητική παντὸς γὰρ μᾶλλον οὐ παραδεκτέον νῦν καὶ ἐναργέστερον ὡς ἐμοὶ δοκεῖ φαίνεται p καὶ πάλιν ἑξῆς ὡς μὲν πρὸς ὁμᾶς εἰρῆσθαι οὐ γάρ μου κατερεῖτε πρὸς τοὺς τραγῳδίας ποιητὰς καὶ τοὺς ἄλλους πάντας τοὺς μιμητικούς λώβη ἔοικεν εἶναι πάντα τὰ τοιαῦτα τῆς τῶν ἀκουόντων διανοίας p	Plato	Proclus	Respublica (Politeia)	In Platonis Rem publicam commentarii	
tlg0059.tlg030	599/#1	ancient_classical	tlg4036.tlg001	In Rempublicam/101r#65	ancient_classical	0.3457	51	51	δεῖ δὴ ἐπισκέψασθαι πότερον μιμηταῖς τούτοις οὗτοι ἐντυχόντες ἐξηπάτηνται καὶ τὰ ἔργα αὐτῶν ὁρῶντες οὐκ αἰσθάνονται τριττὰ ἀπέχοντα τοῦ ὄντος καὶ ῥᾴδια ποιεῖν μὴ εἰδότι τὴν ἀλήθειαν φαντάσματα γὰρ ἀλλ οὐκ ὄντα ποιοῦσιν ἤ τι καὶ λέγουσιν καὶ τῷ ὄντι οἱ ἀγαθοὶ ποιηταὶ ἴσασιν περὶ ὧν δοκοῦσιν τοῖς πολλοῖς εὖ λέγειν πάνυ μὲν οὖν ἔφη ἐξεταστέον οἴει	μὴ οἷόν τε εἶναι εὖ ποιεῖν δεῖ δὴ ἐπισκέψασθαι πότερον μιμηταῖς τούτοις οὗτοι ἐντυχόντες ἐξηπάτηνται καὶ τὰ ἔργα αὐτῶν ὁρῶντες οὐκ αἰσθάνονται τριττὰ ἀπέχοντα τοῦ ὄντος καὶ ῥᾴδια ποιεῖν μὴ εἰδότι τὴν ἀλήθειαν φαντάσματα γάρ ἀλλ οὐκ ὄντα ποιοῦσιν ἢ τι καὶ λέγουσιν καὶ τῷ εντι οἱ ἀγαθοὶ ποιηταὶ ἴσασιν περὶ ὧν δοκοῦσι τοῖς πολλοῖς εὖ λέγειν p sqq αὐτὸς γὰρ ἐν τοῖσδε	Plato	Proclus	Respublica (Politeia)	In Platonis Rem publicam commentarii	
tlg0059.tlg030	598/#3	ancient_classical	tlg4036.tlg001	In Rempublicam/101r#65	ancient_classical	0.335	53	53	ἔφη οὐκοῦν ἦν δ ἐγώ μετὰ τοῦτο ἐπισκεπτέον τήν τε τραγῳδίαν καὶ τὸν ἡγεμόνα αὐτῆς Ὅμηρον ἐπειδή τινων ἀκούομεν ὅτι οὗτοι πάσας μὲν τέχνας ἐπίστανται πάντα δὲ τὰ ἀνθρώπεια τὰ πρὸς ἀρετὴν καὶ κακίαν καὶ τά γε θεῖα ἀνάγκη γὰρ τὸν ἀγαθὸν ποιητήν εἰ μέλλει περὶ ὧν ἂν ποιῇ καλῶς ποιήσειν εἰδότα ἄρα ποιεῖν ἢ μὴ οἷόν τε εἶναι ποιεῖν	ταῦτα σκεπτέον τήν τε τραγῳδίαν καὶ τὸν ἡγεμόνα αὐτῆς Ὅμηρον ἐπειδή τινων ἀκούομεν ὅτι οὗτοι πάσας μὲν τέχνας ἐπίστανται πάντα δὲ τὰ ἀνθρώπεια τὰ πρὸς ἀρετὴν καὶ κακίαν καὶ τά γε θεῖα ἀνάγκη γὰρ τὸν ἀγαθὸν ποιητήν εἰ μέλλοι περὶ ὧν ἂν ποι καλῶς ποιήσειν εἰδότα ἄρα ποιεῖν ἢ μὴ οἷόν τε εἶναι εὖ ποιεῖν δεῖ δὴ ἐπισκέψασθαι πότερον	Plato	Proclus	Respublica (Politeia)	In Platonis Rem publicam commentarii	
tlg0059.tlg030	378/#3	ancient_classical	tlg4036.tlg001	In Rempublicam/46v#4	ancient_classical	0.2293	21	43	ἐν ὑπονοίαις πεποιημένας οὔτε ἄνευ ὑπονοιῶν ὁ γὰρ νέος οὐχ οἷός τε κρίνειν ὅτι τε ὑπόνοια καὶ ὃ μή ἀλλ ἃ ἂν τηλικοῦτος ὢν λάβῃ ἐν ταῖς δόξαις δυσέκνιπτά τε καὶ ἀμετάστατα φιλεῖ γίγνεσθαι ὧν δὴ ἴσως ἕνεκα περὶ παντὸς ποιητέον ἃ πρῶτα ἀκούουσιν ὅτι κάλλιστα μεμυθολογημένα πρὸς ἀρετὴν ἀκούειν ἔχει γάρ ἔφη λόγον ἀλλ εἴ	ἣν αἰτίαν ἀποσκευάζεται τὴν τοιάνδε μυθολογιαν ὁ γὰρ νέος οὐχ οἷός τε κρίνειν ὅτι τε ὑπόνοια καὶ ὃ μή ἀλλ ὅσ ἂν τηλικοῦτος ὢν λάβῃ ἐν ταῖς δόξαις 7 παραιρεῖσθαι im m2 15 τοῖς οἱσ 17 τι τινα 30 ὅσ ex ὁσ m3 ἃ Pl δυσέκνιπτά τε καὶ ἀμετάστατα φιλεῖ γίνεσθαι f ὧν δὴ ἴσως ἕνεκα περὶ παντὸς ποιητέον ἃ πρῶτα ἀκούουσιν ὅτι κάλλιστα μεμυθολογημένα πρὸς ἀρετὴν ἀκούειν ΙΙ p εἰκότως ἄρα τοὺς Ὁμηρικοὺς	Plato	Proclus	Respublica (Politeia)	In Platonis Rem publicam commentarii	
tlg0059.tlg030	598/#1	ancient_classical	tlg4036.tlg001	In Rempublicam/101r#37	ancient_classical	0.2354	24	36	οὐδέν φαίνεται δὲ ἀλλοία καὶ τἆλλα ὡσαύτως οὕτως ἔφη φαίνεται διαφέρει δ οὐδέν τοῦτο δὴ αὐτὸ σκόπει πρὸς πότερον ἡ γραφικὴ πεποίηται περὶ ἕκαστον πότερα πρὸς τὸ ὄν ὡς ἔχει μιμήσασθαι ἢ πρὸς τὸ φαινόμενον ὡς φαίνεται φαντάσματος ἢ ἀληθείας οὖσα μίμησις φαντάσματος ἔφη πόρρω ἄρα που τοῦ ἀληθοῦς ἡ	ὡσαύτως οὕτως ἔφη φαίνεται διαφέρει δὲ οὐδέν τοῦτο δὴ αὐτὸ σκόπει πρὸς πότερον γραφικὴ πεποίηται περὶ ἕκαστον πότερα πρὸς τὸ ὂν ὡς ἔχει μιμήσασθαι ἢ πρὸς τὸ φαινόμενον ὡς φαίνεται φαντάσματος ἣ ἀληθείας οὖσα μίμησις φαντάσματος ἴφη X sqq διὰ δὴ τούτων ἐναργέστατα	Plato	Proclus	Respublica (Politeia)	In Platonis Rem publicam commentarii	
tlg0059.tlg030	614/#2	ancient_classical	tlg4036.tlg001	In Rempublicam/59r#10	ancient_classical	0.1672	22	36	δωδεκαταῖος ἐπὶ τῇ πυρᾷ κείμενος ἀνεβίω ἀναβιοὺς δ ἔλεγεν ἃ ἐκεῖ ἴδοι ἔφη δέ ἐπειδὴ οὗ ἐκβῆναι τὴν ψυχὴν πορεύεσθαι μετὰ πολλῶν καὶ ἀφικνεῖσθαι σφᾶς εἰς τόπον τινὰ δαιμόνιον ἐν ᾧ τῆς τε γῆς δύ εἶναι χάσματα ἐχομένω ἀλλήλοιν καὶ τοῦ οὐρανοῦ αὖ ἐν τῷ ἄνω ἄλλα καταντικρύ δικαστὰς δὲ	δή τισι καὶ εὐαριθμήτοις ὑπάρχειν εἰκός Ἀναβιοὺς δὲ ἔλεγεν ἃ ἐκεῖ ἴδοι ἔφη δέ ἐπειδὴ οὖν ἐκβῆναι τὴν ψυχήν πορεύεσθαι μετὰ πολλῶν καὶ ἀφικνεῖσθαι σφᾶς εἰς τόπον τινὰ δαιμόνιον p 614 bc ἐν ᾧ τῆς τε γῆς δύο εἶναι χάσματα ἐχομένω μένω ἀλλήλοιν καὶ τοῦ οὐρανοῦ Τὴν μὲν ἀναβίωσιν τοῦ Ἠρὸς οὐκ ἄλλην ἢ	Plato	Proclus	Respublica (Politeia)	In Platonis Rem publicam commentarii	
tlg0059.tlg030	598/#3	ancient_classical	tlg4036.tlg001	In Rempublicam/101r#64	ancient_classical	0.1747	29	29	ἀνεπιστημοσύνην καὶ μίμησιν ἐξετάσαι ἀληθέστατα ἔφη οὐκοῦν ἦν δ ἐγώ μετὰ τοῦτο ἐπισκεπτέον τήν τε τραγῳδίαν καὶ τὸν ἡγεμόνα αὐτῆς Ὅμηρον ἐπειδή τινων ἀκούομεν ὅτι οὗτοι πάσας μὲν τέχνας ἐπίστανται πάντα δὲ τὰ ἀνθρώπεια τὰ πρὸς ἀρετὴν καὶ κακίαν καὶ τά γε	ποιητῶν λόγους ἐκ τῶν γεγραμμένων δῆλον οὐκοῦν ἦν δὲ ἐγώ μετὰ ταῦτα σκεπτέον τήν τε τραγῳδίαν καὶ τὸν ἡγεμόνα αὐτῆς Ὅμηρον ἐπειδή τινων ἀκούομεν ὅτι οὗτοι πάσας μὲν τέχνας ἐπίστανται πάντα δὲ τὰ ἀνθρώπεια τὰ πρὸς	Plato	Proclus	Respublica (Politeia)	In Platonis Rem publicam commentarii	
