work_i	ref_i	era_i	work_j	ref_j	era_j	score	chain_len	matched_words	snippet_i	snippet_j	author_i	author_j	title_i	title_j	tag
tlg0059.tlg030	330/#1	ancient_classical	2934.004	76/#2	7th_8th	0.0	6	6	τῷ Σεριφίῳ λοιδορουμένῳ καὶ λέγοντι ὅτι οὐ δι αὑτὸν ἀλλὰ διὰ τὴν πόλιν εὐδοκιμοῖ ἀπεκρίνατο ὅτι οὔτ ἂν	δὲ ἐν τῷ σεσαρκωμένῳ θεῷ λόγῳ οὐ δι ἑαυτήν ἀλλὰ διὰ τὸν ἡνωμένον αὐτῇ καθ ὑπόστασιν θεὸν λόγον	Plato	John of Damascus	Respublica (Politeia)	Expositio fidei (De fide orthodoxa)	
tlg0086.tlg010	1/#44	ancient_classical	2934.002	52/#9	7th_8th	0.0	6	11	μὲν γὰρ ἓν οἰόμενοι ὅτι ἐπιδέχεται τὸ μᾶλλον καὶ τὸ ἧττον οὐχ ἱκανῷ πεπιστεύκασι σημείῳ δέχεται γὰρ τὸ μᾶλλον καὶ τὸ ἧττον καὶ τὰ ἕτερα τῷ εἴδει εἴρηται δ ὑπὲρ	ἧττον ἔνθα γὰρ ἐναντιότης ἐστί καὶ τὸ μᾶλλον καὶ τὸ ἧττον εὑρίσκεται Τὸ δὲ μᾶλλόν ἐστιν ἐπί τασις καὶ	Aristotle	John of Damascus	Ethica Nicomachea	Dialectica (Capita philosophica)	
tlg0086.tlg010	1/#44	ancient_classical	2934.002	26/	7th_8th	0.0029	6	11	μὲν γὰρ ἓν οἰόμενοι ὅτι ἐπιδέχεται τὸ μᾶλλον καὶ τὸ ἧττον οὐχ ἱκανῷ πεπιστεύκασι σημείῳ δέχεται γὰρ τὸ μᾶλλον καὶ τὸ ἧττον καὶ τὰ ἕτερα τῷ εἴδει εἴρηται	τὰ ἐναντία ὅτι ἡ μὲν διαφορὰ τὸ μᾶλλον καὶ τὸ ἧττον οὐκ ἐπιδέχεται ἀλλὰ τὰ συμβε βηκότα ὅτι	Aristotle	John of Damascus	Ethica Nicomachea	Dialectica (Capita philosophica)	
tlg0086.tlg010	3/#45	ancient_classical	2934.002	50/#8	7th_8th	0.0043	6	10	τί κωλύει καθάπερ ὑγίεια ὡρισμένη οὖσα δέχεται τὸ μᾶλλον καὶ τὸ ἧττον οὕτω καὶ τὴν ἡδονήν οὐ γὰρ ἡ αὐτὴ συμμετρία ἐν πᾶσίν ἐστιν οὐδ ἐν τῷ αὐτῷ μία τις ἀεί ἀλλ ἀνιεμένη διαμένει ἕως τινός καὶ διαφέρει τῷ μᾶλλον καὶ ἧττον τοιοῦτον δὴ καὶ τὸ περὶ τὴν ἡδονὴν ἐνδέχεται	εἶναι ἐναντία Δεύτερον τὸ μὴ ἐπιδέχεσθαι τὸ μᾶλλον καὶ ἧττον Οὐδὲ γὰρ οἱ δύο φοίνικές εἰσι μᾶλλον δύο ἤπερ οἱ δύο ἄνθρωποι Τὸ δὲ μὴ ἔχον ἐναντίον οὐκ ἐπιδέχεται τὸ μᾶλλον καὶ ἧττον Τρίτον δέ ὃ μόνῳ καὶ παντὶ τῷ ποσῷ	Aristotle	John of Damascus	Ethica Nicomachea	Dialectica (Capita philosophica)	
tlg0086.tlg010	4/#16	ancient_classical	2934.002	13/#1	7th_8th	0.0	7	7	καὶ θεωρεῖν ὅπως ἂν γένηταί τι τῶν ἐνδεχομένων καὶ εἶναι καὶ μὴ εἶναι καὶ ὧν ἡ ἀρχὴ ἐν τῷ ποιοῦντι	μένου φθορᾶς Καὶ πάλιν ὃ ἐνδέχεται τῷ αὐτῷ καὶ εἶναι καὶ μὴ εἶναι καὶ γὰρ ἐνδέχεται ἄνθρωπον καὶ λευκὸν εἶναι καὶ μὴ εἶναι λευκόν ὁμοίως καὶ μακρὸν καὶ φρόνιμον	Aristotle	John of Damascus	Ethica Nicomachea	Dialectica (Capita philosophica)	
tlg0086.tlg010	1/#13	ancient_classical	2934.004	38/#3	7th_8th	0.0444	7	24	πάντα δὴ ταῦτα τῆς ἀγνοίας οὔσης ἐν οἷς ἡ πρᾶξις ὁ τούτων τι ἀγνοήσας ἄκων δοκεῖ πεπραχέναι καὶ μάλιστα ἐν τοῖς κυριωτάτοις κυριώτατα δ εἶναι δοκεῖ ἐν οἷς ἡ πρᾶξις καὶ οὗ ἕνεκα τοῦ δὴ κατὰ τὴν τοιαύτην ἄγνοιαν ἀκουσίου λεγομένου ἔτι δεῖ τὴν πρᾶξιν λυπηρὰν εἶναι καὶ ἐν μεταμελείᾳ ὄντος δ ἀκουσίου τοῦ βίᾳ καὶ δι ἄγνοιαν τὸ ἑκούσιον δόξειεν ἂν εἶναι οὗ ἡ ἀρχὴ ἐν αὐτῷ εἰδότι τὰ καθ ἕκαστα ἐν οἷς ἡ πρᾶξις ἴσως γὰρ οὐ καλῶς λέγεται ἀκούσια	τοῦ μὲν κατὰ βίαν τοῦ δὲ δι ἄγνοιαν τὸ ἑκούσιον ἀμφοτέροις ἀντίκειται ἔστι γὰρ ἑκούσιον τὸ μήτε κατὰ βίαν μήτε δι ἄγνοιαν γινόμενον Ἑκούσιον τοίνυν ἐστίν οὗ ἡ ἀρχὴ του τέστιν ἡ αἰτία ἐν αὑτῷ εἰδότι τὰ καθ ἕκαστα δι ὧν καὶ ἐν οἷς ἡ πρᾶξις Καθ ἕκαστα δέ ἐστιν ἃ καλεῖται παρὰ	Aristotle	John of Damascus	Ethica Nicomachea	Expositio fidei (De fide orthodoxa)	
tlg0086.tlg010	5/#15	ancient_classical	2934.004	40/#2	7th_8th	0.0	6	10	δ ὑπερβολὴ κατὰ πάντα μὲν γίνεται καὶ γὰρ οἷς οὐ δεῖ καὶ ἐφ οἷς οὐ δεῖ καὶ μᾶλλον ἢ δεῖ καὶ θᾶττον καὶ	οἷς δεῖ καὶ μὴ χαίρειν ὁμοίως καὶ ἐφ οἷς οὐ δεῖ καὶ ὅσα τοιαῦτα ἐν οἷς ἐστι τὰ	Aristotle	John of Damascus	Ethica Nicomachea	Expositio fidei (De fide orthodoxa)	
tlg0086.tlg010	3/#8	ancient_classical	2934.004	12b/#3	7th_8th	0.0022	7	7	μᾶλλον ἢ γυμναστικήν ὅσῳ ἧττον διηκρίβωται καὶ ἔτι περὶ τῶν λοιπῶν ὁμοίως μᾶλλον δὲ	ζωὴ καὶ ζῶν δύναμις καὶ δυνατός καὶ ἐπὶ πάντων τῶν λοιπῶν ὁμοίως μᾶλλον δὲ ἐκ τῶν τιμιωτέρων καὶ πλησιαζόντων αὐτῷ	Aristotle	John of Damascus	Ethica Nicomachea	Expositio fidei (De fide orthodoxa)	
tlg0086.tlg010	5/#16	ancient_classical	2934.004	40/#2	7th_8th	0.0	6	9	οὖν ὀργίλοι ταχέως μὲν ὀργίζονται καὶ οἷς οὐ δεῖ καὶ ἐφ οἷς οὐ δεῖ καὶ μᾶλλον ἢ δεῖ παύονται δὲ ταχέως	οἷς δεῖ καὶ μὴ χαίρειν ὁμοίως καὶ ἐφ οἷς οὐ δεῖ καὶ ὅσα τοιαῦτα ἐν οἷς ἐστι τὰ	Aristotle	John of Damascus	Ethica Nicomachea	Expositio fidei (De fide orthodoxa)	
tlg0086.tlg010	3/#9	ancient_classical	2934.004	12b/#3	7th_8th	0.0044	7	7	μᾶλλον ἢ γυμναστικήν ὅσῳ ἧττον διηκρίβωται καὶ ἔτι περὶ τῶν λοιπῶν ὁμοίως μᾶλλον δὲ καὶ περὶ τὰς τέχνας ἢ τὰς	ζωὴ καὶ ζῶν δύναμις καὶ δυνατός καὶ ἐπὶ πάντων τῶν λοιπῶν ὁμοίως μᾶλλον δὲ ἐκ τῶν τιμιωτέρων καὶ πλησιαζόντων αὐτῷ	Aristotle	John of Damascus	Ethica Nicomachea	Expositio fidei (De fide orthodoxa)	
