work_i	ref_i	era_i	work_j	ref_j	era_j	score	chain_len	matched_words	snippet_i	snippet_j	author_i	author_j	title_i	title_j	tag
tlg0086.tlg010	3/#1	ancient_classical	0732.004	in Metaph/168#1	11th_12th	0.1216	17	17	καὶ ἀποδέχεσθαι χρεὼν ἕκαστα τῶν λεγομένων πεπαιδευμένου γάρ ἐστιν ἐπὶ τοσοῦτον τἀκριβὲς ἐπιζητεῖν καθ ἕκαστον γένος ἐφ ὅσον ἡ τοῦ πράγματος φύσις ἐπιδέχεται παραπλήσιον γὰρ φαίνεται μαθηματικοῦ τε πιθανολογοῦντος	ἐν τοῖς Ἠθικοῖς εἰρη μένῳ τῷ πεπαιδευμένου γάρ ἐστιν ἐπὶ τοσοῦτον τἀκριβὲς ἐπιζητεῖν καθ ἕκαστον γένος ἐφ ὅσον ἡ τοῦ πράγματος φύσις ἐπιδέχεται ὃ διὰ τῶν Ὑστέρων ἀναλυτικῶν δείκνυται	Aristotle	Michael of Ephesus (trad. Alex. Aphr.)	Ethica Nicomachea	In Aristotelis Metaphysica	
tlg0086.tlg010	3/#1	ancient_classical	0732.004	in Metaph/168#2	11th_12th	0.1258	17	17	καὶ ἀποδέχεσθαι χρεὼν ἕκαστα τῶν λεγομένων πεπαιδευμένου γάρ ἐστιν ἐπὶ τοσοῦτον τἀκριβὲς ἐπιζητεῖν καθ ἕκαστον γένος ἐφ ὅσον ἡ τοῦ πράγματος φύσις ἐπιδέχεται παραπλήσιον γὰρ φαίνεται μαθηματικοῦ τε πιθανολογοῦντος	πεπαιδευμένου γάρ ἐστιν ἐπὶ τοσοῦτον τἀκριβὲς ἐπιζητεῖν καθ ἕκαστον γένος ἐφ ὅσον ἡ τοῦ πράγματος φύσις ἐπιδέχεται ὃ διὰ τῶν Ὑστέρων ἀναλυτικῶν δείκνυται	Aristotle	Michael of Ephesus (trad. Alex. Aphr.)	Ethica Nicomachea	In Aristotelis Metaphysica	
tlg0086.tlg010	1/#1	ancient_classical	0732.004	in Metaph/14#1	11th_12th	0.091	15	15	πᾶσα τέχνη καὶ πᾶσα μέθοδος ὁμοίως δὲ πρᾶξίς τε καὶ προαίρεσις ἀγαθοῦ τινὸς ἐφίεσθαι δοκεῖ διὸ καλῶς ἀπεφήναντο τἀγαθόν οὗ πάντ	καὶ τῶν Νικο μαχείων Ἠθικῶν ἀρχόμενος πᾶσα τέχνη καὶ πᾶσα μέθοδος ὁμοίως δὲ πρᾶξίς τε καὶ προαίρεσις ἀγαθοῦ τινος ἐφίεσθαι δοκεῖ τοιοῦτον δὲ καὶ τὸ τῶν ὄντων	Aristotle	Michael of Ephesus (trad. Alex. Aphr.)	Ethica Nicomachea	In Aristotelis Metaphysica	
tlg0086.tlg010	1/#1	ancient_classical	0732.004	in Metaph/352#1	11th_12th	0.0846	8	14	πᾶσα τέχνη καὶ πᾶσα μέθοδος ὁμοίως δὲ πρᾶξίς τε καὶ προαίρεσις ἀγαθοῦ τινὸς ἐφίεσθαι δοκεῖ διὸ καλῶς ἀπεφήναντο τἀγαθόν οὗ πάντ	ἀγαθὸν αὐτὸ ἡ σπουδή πᾶσα γὰρ τέχνη καὶ πᾶσα μέθοδος ὁμοίως δὲ καὶ πρᾶξίς τε καὶ προαίρεσις ἀγαθοῦ τινος ἐφίεσθαι δοκεῖ ὡς εἶπεν ἀρχόμενος τῶν Νικομαχείων p	Aristotle	Michael of Ephesus (trad. Alex. Aphr.)	Ethica Nicomachea	In Aristotelis Metaphysica	
tlg0086.tlg010	3/#2	ancient_classical	0732.004	in Metaph/168#1	11th_12th	0.0902	12	12	τἀκριβὲς ἐπιζητεῖν καθ ἕκαστον γένος ἐφ ὅσον ἡ τοῦ πράγματος φύσις ἐπιδέχεται παραπλήσιον γὰρ φαίνεται μαθηματικοῦ τε πιθανολογοῦντος	τῷ πεπαιδευμένου γάρ ἐστιν ἐπὶ τοσοῦτον τἀκριβὲς ἐπιζητεῖν καθ ἕκαστον γένος ἐφ ὅσον ἡ τοῦ πράγματος φύσις ἐπιδέχεται ὃ διὰ τῶν Ὑστέρων ἀναλυτικῶν δείκνυται	Aristotle	Michael of Ephesus (trad. Alex. Aphr.)	Ethica Nicomachea	In Aristotelis Metaphysica	
tlg0086.tlg010	3/#2	ancient_classical	0732.004	in Metaph/168#2	11th_12th	0.0943	12	12	τἀκριβὲς ἐπιζητεῖν καθ ἕκαστον γένος ἐφ ὅσον ἡ τοῦ πράγματος φύσις ἐπιδέχεται παραπλήσιον γὰρ φαίνεται μαθηματικοῦ τε πιθανολογοῦντος	πεπαιδευμένου γάρ ἐστιν ἐπὶ τοσοῦτον τἀκριβὲς ἐπιζητεῖν καθ ἕκαστον γένος ἐφ ὅσον ἡ τοῦ πράγματος φύσις ἐπιδέχεται ὃ διὰ τῶν Ὑστέρων ἀναλυτικῶν δείκνυται	Aristotle	Michael of Ephesus (trad. Alex. Aphr.)	Ethica Nicomachea	In Aristotelis Metaphysica	
tlg0086.tlg010	7/#46	ancient_classical	0732.004	in Metaph/17#2	11th_12th	0.0753	8	8	τὸν ἀνθρώπινον βίον οὐ χρὴ δὲ κατὰ τοὺς παραινοῦντας ἀνθρώπινα φρονεῖν ἄνθρωπον ὄντα οὐδὲ θνητὰ τὸν θνητόν ἀλλ ἐφ ὅσον ἐνδέχεται	αὐτῷ ἔνθα λέγει οὐ γὰρ χρὴ κατὰ τοὺς παραινοῦντας ἀνθρώπινα φρονεῖν ἄνθρωπον ὄντα καὶ θνητὰ θνητόν τοιαῦτα γὰρ καὶ ταῦτα διό	Aristotle	Michael of Ephesus (trad. Alex. Aphr.)	Ethica Nicomachea	In Aristotelis Metaphysica	
tlg0086.tlg010	5/#4	ancient_classical	2702.028	/21#4	11th_12th	0.0497	9	37	ἢ ἀνειμένως κακῶς ἔχομεν εἰ δὲ μέσως εὖ ὁμοίως δὲ καὶ πρὸς τἆλλα πάθη μὲν οὖν οὐκ εἰσὶν οὔθ αἱ ἀρεταὶ οὔθ αἱ κακίαι ὅτι οὐ λεγόμεθα κατὰ τὰ πάθη σπουδαῖοι ἢ φαῦλοι κατὰ δὲ τὰς ἀρετὰς καὶ τὰς κακίας λεγόμεθα καὶ ὅτι κατὰ μὲν τὰ πάθη οὔτ ἐπαινούμεθα οὔτε ψεγόμεθα οὐ γὰρ ἐπαινεῖται ὁ φοβούμενος οὐδὲ ὁ ὀργιζόμενος οὐδὲ ψέγεται ὁ ἁπλῶς ὀργιζόμενος ἀλλ ὁ πῶς κατὰ δὲ τὰς ἀρετὰς καὶ τὰς κακίας ἐπαινούμεθα ἢ ψεγόμεθα ἔτι ὀργιζόμεθα μὲν καὶ φοβούμεθα ἀπροαιρέτως αἱ δ ἀρεταὶ προαιρέσεις τινὲς ἢ οὐκ ἄνευ προαιρέσεως πρὸς δὲ τούτοις κατὰ μὲν τὰ πάθη κινεῖσθαι λεγόμεθα κατὰ δὲ τὰς ἀρετὰς καὶ τὰς κακίας οὐ κινεῖσθαι ἀλλὰ διακεῖσθαί πως διὰ ταῦτα δὲ οὐδὲ δυνάμεις εἰσίν	σφοδρως η ἀνειμένως χακῶς ἐχομεν Ομαιως δὲ πρὸς τὰ αλλα Αὐ οὐν ἀρεταί οὓτε πάθη εἰσιν οὓτε δυνάμεις αλλ ἐξις Οὐ γὰρ λεγόμεθα χατὰ τὰ πάθη σπουδαίοι ηφαυλοι χτὰ δὲ τὰς ἀρεταί χατὰ τὰς χαχίας λεγόμεθα σπουδαίοι χατὰ φαυλοι Και φό ύ μεθα μέν ηδργιζόμεθα ἀπροαιρέτες Αὐ δὲ ἀρεταί προαίρέσεις τινες η οὓχ αὐν προαίρέτες Και χατὰ μέν τὰ πάθη χινεῖσθαι λεγόμεθα χατὰ δὲ τὰς χαχίας χατὰ τὰς ἀρεταί οὓχ χινεῖσθαι αλλὰ διακείσθαι πως	Aristotle	Michael Psellos	Ethica Nicomachea	De omnifaria doctrina	
tlg0086.tlg010	5/#3	ancient_classical	2702.028	/21#3	11th_12th	0.0368	11	27	μὲν ἐπιθυμίαν ὀργὴν φόβον θάρσος φθόνον χαρὰν φιλίαν μῖσος πόθον ζῆλον ἔλεον ὅλως οἷς ἕπεται ἡδονὴ ἢ λύπη δυνάμεις δὲ καθ ἃς παθητικοὶ τούτων λεγόμεθα οἷον καθ ἃς δυνατοὶ ὀργισθῆναι ἢ λυπηθῆναι ἢ ἐλεῆσαι ἕξεις δὲ καθ ἃς πρὸς τὰ πάθη ἔχομεν εὖ ἢ κακῶς οἷον πρὸς τὸ ὀργισθῆναι εἰ μὲν σφοδρῶς ἢ ἀνειμένως κακῶς ἔχομεν εἰ δὲ μέσως εὖ ὁμοίως δὲ καὶ πρὸς	ἐπίθυμία δργή φό ος φθόνος θάρσος χαρὰ φιλία μίσος πόθος ζήλος ἐλεως Δύναμεις δὲ ἐστι χαθ ην παθητιχοί τούτων γινόμεθα οὐχ χαθ ην δυνατοί δργισθηναι ηλυπηθηναι η ἐλεησαι Εξις δὲ χαθ ην πρὸς τὰ πάθη ἐχομεν χαλῶς ηχαῶς Οὐν πρὸς τὰ δργισθηναι εἰ μέν σφοδρως η ἀνειμένως χακῶς ἐχομεν Ομαιως δὲ πρὸς τὰ αλλα Αὐ οὐν ἀρεταί	Aristotle	Michael Psellos	Ethica Nicomachea	De omnifaria doctrina	
tlg0086.tlg010	3/#26	ancient_classical	4031.001	/243#1	11th_12th	0.0041	8	12	ἔσται ἄρα ὡς ὁ α ὅρος πρὸς τὸν β οὕτως ὁ γ πρὸς τὸν δ καὶ ἐναλλὰξ ἄρα ὡς ὁ α πρὸς τὸν γ ὁ β πρὸς τὸν δ	πλάσιοι ὁ Α πρὸς τὸν Β καὶ ὁ Γ πρὸς τὸν Δ ἢ ἰσάκις ἐπιμόριοι ἤ τινα ἄλλον	Aristotle	Eustratius of Nicaea	Ethica Nicomachea	In Analytica Posteriora II	
