id	author_i	title_i	ref_i	author_j	title_j	ref_j	chain_len	score	context_summary
28833	Michael Psellos	Theologica I	69/#2	Eustratius of Nicaea	In Ethica Nicomachea VI	/301#2	7	0.0101	φυσικῶν πραγμάτων τὸ ἐν ἑαυτῷ ἔχειν τὴν ἀρχὴν τῆς κινήσεως ὡς καὶ τὸ τέλος τῆς ἠ
28635	Michael Psellos	Theologica I	3/#4	Eustratius of Nicaea	In Analytica Posteriora II	/82#3	6	0.0444	γὰρ ἁπλῶς ὅσα κατά τινος λέγεται καὶ κατὰ τοῦ ὑποκειμένου τούτῳ ῥηθήσεται ἀλλὰ δ
28636	Michael Psellos	Theologica I	3/#1	Eustratius of Nicaea	In Analytica Posteriora II	/82#3	6	0.0334	οὐ γὰρ ἁπλῶς ὅσα κατά τινος λέγεται ταῦτα καὶ κατὰ τοῦ ὑποκειμένου τούτῳ ῥηθήσετ
28637	Michael Psellos	Theologica I	3/#5	Eustratius of Nicaea	In Analytica Posteriora II	/82#3	6	0.0187	εἶδος οὐ τοίνυν ὅσα κατά τινος λέγεται ταῦτα καὶ κατὰ τοῦ ὑποκειμένου συνίσταται
28694	Michael Psellos	Theologica I	47/#5	Eustratius of Nicaea	In Analytica Posteriora II	/100#1	6	0.0	καὶ φύσεως κάλλει τὸ πρεσβεῖον ἀπείληφεν οὐ μέντοι γε κατ αὐτὸ τὸ ἐκτίσθαι τῶν ἄ
28734	Michael Psellos	Theologica I	107/#11	Eustratius of Nicaea	In Analytica Posteriora II	/221#3	6	0.0	ἀγγέλοις μία τις εἰδικὴ οὐσία συμπέφυκεν οὕτω δὴ καὶ ἐπὶ τῶν τριῶν ὑποστάσεων πα
28803	Michael Psellos	Theologica I	3/#4	Eustratius of Nicaea	In Ethica Nicomachea I	/117#2	6	0.0	φιλοσόφου ἐπὶ τῶν οὐσιωδῶς κατηγορουμένων προσχρησαμένου τῷ ῥήματι οὗτος καὶ ἐπὶ
28668	Michael Psellos	Theologica I	6/#5	Eustratius of Nicaea	In Analytica Posteriora II	/221#3	5	0.0196	κεκόσμηται ἀλλὰ τὸ συναμφότερον ἤτοι τὸ ἐξ ὕλης καὶ εἴδους συνεστηκός τὸ γὰρ τοῦ
28651	Michael Psellos	Theologica I	69/#6	Eustratius of Nicaea	In Analytica Posteriora II	/66#2	5	0.0142	ὡς καὶ αὐτὸ δηλοῖ τοὔνομα καινή τις ὁδὸς τοῦ ὑποκει μένου πράγματος καὶ παράδοξο
28707	Michael Psellos	Theologica I	59/#13	Eustratius of Nicaea	In Analytica Posteriora II	/34#2	5	0.0138	προσείληφεν ἄνθρωπον ὁ ἀπ ἀρχῆς θεός εἶτα ἵνα μή τις εἴπῃ καὶ πῶς ἔχει λόγον τὸν
28650	Michael Psellos	Theologica I	69/#5	Eustratius of Nicaea	In Analytica Posteriora II	/66#2	5	0.0136	ὡς καὶ αὐτὸ δηλοῖ τοὔνομα καινή τις ὁδὸς τοῦ ὑποκει μένου πράγματος καὶ
28647	Michael Psellos	Theologica I	59/#13	Eustratius of Nicaea	In Analytica Posteriora II	/34#3	5	0.0126	προσείληφεν ἄνθρωπον ὁ ἀπ ἀρχῆς θεός εἶτα ἵνα μή τις εἴπῃ καὶ πῶς ἔχει λόγον τὸν
28714	Michael Psellos	Theologica I	69/#6	Eustratius of Nicaea	In Analytica Posteriora II	/66#1	5	0.0122	ὡς καὶ αὐτὸ δηλοῖ τοὔνομα καινή τις ὁδὸς τοῦ ὑποκει μένου πράγματος καὶ παράδοξο
28847	Michael Psellos	Theologica I	19/#3	Eustratius of Nicaea	In Ethica Nicomachea VI	/275#3	5	0.0122	ἐν τοσούτῳ πλούτῳ τῆς ἀγαθότητος δέον τῷ ἐναντίῳ τὰ ἐναντία καρποῦσθαι τῷ ἀόκνῳ 
28713	Michael Psellos	Theologica I	69/#5	Eustratius of Nicaea	In Analytica Posteriora II	/66#1	5	0.0117	ὡς καὶ αὐτὸ δηλοῖ τοὔνομα καινή τις ὁδὸς τοῦ ὑποκει μένου πράγματος καὶ
28693	Michael Psellos	Theologica I	42/#5	Eustratius of Nicaea	In Analytica Posteriora II	/137#3	5	0.0088	αὐτὸν γεγενῆσθαι ἀλλ ἢ μόνον τῆς ἐν γενέσει τε καὶ φθορᾷ κατὰ καιροὺς φυτευομένη
